# Задание 13: НЕ/НИ со словами
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и официальному цифровому ответу каждого комплекта.


# Комплект 1; источник № 51414
Дом у Петровых (НЕ)БОЛЬШОЙ, но очень уютный. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания. Союз «но» не равен союзу «а».
Даже в испепеляющую жару в (НЕ)БОЛЬШОМ дубовом лесочке чувствуешь живительную прохладу. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания.
Путь предстоял далеко (НЕ)БЛИЗКИЙ, и Анна немного волновалась. | раздельно | слитно,раздельно | С прилагательным пишется раздельно, условие для раздельного написания — «далеко не».
Никому (НЕ)ИЗВЕСТНЫЙ актёр должен был играть главную роль в новом спектакле. | раздельно | слитно,раздельно | С прилагательным пишется раздельно, условие для раздельного написания — «никому не».
Новогодние украшения мы (НЕ)ДОСТАВАЛИ: решили, что ёлка и без них прекрасно выглядит. | раздельно | слитно,раздельно | С глаголом раздельно.

# Комплект 2; источник № 55152
Если я по лаю определяю, что пёс нисколько (НЕ)ОБОЗЛЁН, я смело открываю калитку. | раздельно | слитно,раздельно | С кратким причастием раздельно.
Закрытые шлюзы высоко подняли воду, образовав (НЕ)ШИРОКИЙ, но глубокий затон. | слитно | слитно,раздельно | С прилагательным слитно, союз «но» в этом предложении не выражает противопоставление.
Дно Байкала далеко (НЕ)РОВНОЕ и представляет собой систему подводных хребтов. | раздельно | слитно,раздельно | С прилагательным раздельно, так есть условие для раздельного написания, частица «далеко не».
В 1836 году состоялось знакомство Фредерика Шопена и Жорж Санд, но тогда ещё ничто (НЕ)ПРЕДВЕЩАЛО будущей любви композитора и известной писательницы. | раздельно | слитно,раздельно | С глаголом раздельно.
(НЕ)ЗАДОЛГО перед дождём, хотя ещё и не набежали тучи, чувствуется нежное дыхание влаги. | слитно | слитно,раздельно | С наречием слитно, нет условий для раздельного написания.

# Комплект 3; источник № 59249
Крупные пятна иногда могут быть замечены даже (НЕ)ВООРУЖЁННЫМ глазом, особенно если Солнце наблюдается сквозь дымку. | слитно | слитно,раздельно | Имя прил. слитно, нет условий для раздельного написания.
Выпущенные небольшими тиражами труды Юлиуса Майера долго оставались (НЕ)ИЗВЕСТНЫМИ научному миру. | слитно | слитно,раздельно | Имя прил. слитно, нет условий для раздельного написания.
(НЕ)СМОТРЯ на большое количество детальных наблюдений, происхождение многих структур на Солнце и детали их эволюции остаются загадкой. | слитно | слитно,раздельно | Уступительный предлог пишется слитно.
(НЕ)РАЗ был Назар в переделках, но всегда выходил сухим из воды. | раздельно | слитно,раздельно | раздельно со словом «раз».
Наталья Николаевна заплакала, когда привели детей, испуганно жавшихся друг к другу, (НЕ)ПОНИМАВШИХ, что случилось с матерью и что происходит вокруг. | раздельно | слитно,раздельно | Раздельно с причастием, имеющим зависимые слова. В роли зависимых слов выступает придаточное предложение, не понимавших чего?.

# Комплект 4; источник № 54180
Он ушёл одиноко бродить по грязным весенним улицам, (НЕ)ЗНАЯ, как выразить своё горе. | раздельно | слитно,раздельно | С деепричастием раздельно.
Моя главная песня (НЕ)СПЕТА, и я не знаю, когда я спою её. | раздельно | слитно,раздельно | С кратким причастием раздельно.
Иногда бывают моменты, когда понимаешь, что все твои мечты (НЕ)СБЫТОЧНЫ. | слитно | слитно,раздельно | Это имя прилагательное не употребляется без «не».
Он нарушил главный закон гор: в доме, который тебя приютил, иголки тронуть (НЕ)СМЕЙ! | раздельно | слитно,раздельно | С глаголом раздельно.
Театр, несмотря на премьеру, был далеко (НЕ)ПОЛОН. | раздельно | слитно,раздельно | Имя прилагательное пишется раздельно при наличии условий для разделения, это слово «далеко».

# Комплект 5; источник № 58367
Мы продолжали идти вперёд, (НЕ)СМОТРЯ ни на какие трудности. | слитно | слитно,раздельно | Этот предлог с уступительным значением пишется слитно.
Был тихий, вовсе (НЕ)ЖАРКИЙ июньский день. | раздельно | слитно,раздельно | С именем прилагательным при наличии отрицательного усилителя пишется раздельно.
(НЕ)СУЛИ́ журавля в небе, а дай синицу в руки. | раздельно | слитно,раздельно | С глаголом пишется раздельно.
