# Задание 15: Н и НН
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и цифровому ключу.

# Комплект 1; источник № 88
Путники, задумчивые и восторже(Н/НН)ые одновременно, очутились как бы в ватном облаке, солнце превратилось в маленький оловянный круг, по которому плыли белесые клочья, пока совершенно не закрыли его. | НН | Н,НН | Правильное написание: восторженные.
Путники, задумчивые и восторженные одновреме(Н/НН)о, очутились как бы в ватном облаке, солнце превратилось в маленький оловянный круг, по которому плыли белесые клочья, пока совершенно не закрыли его. | НН | Н,НН | Правильное написание: одновременно.
Путники, задумчивые и восторженные одновременно, очутились как бы в ватном облаке, солнце превратилось в маленький оловя(Н/НН)ый круг, по которому плыли белесые клочья, пока совершенно не закрыли его. | НН | Н,НН | Правильное написание: оловянный.
Путники, задумчивые и восторженные одновременно, очутились как бы в ватном облаке, солнце превратилось в маленький оловянный круг, по которому плыли белесые клочья, пока соверше(Н/НН)о не закрыли его. | НН | Н,НН | Правильное написание: совершенно.

# Комплект 2; источник № 12510
Я терпеливо обследовал песча(Н/НН)ую отмель и свежий намыв гальки в поисках интересных камешков; дул лёгкий ветерок, волны были кротки и смиренны. | Н | Н,НН | Правильное написание: песчаную.
Я терпеливо обследовал песчаную отмель и свежий намыв гальки в поисках интересных камешков; дул лёгкий ветерок, волны были кротки и смире(Н/НН)ы. | НН | Н,НН | Правильное написание: смиренны.
Мне чудилось, что я брожу в таинстве(Н/НН)ом, оставленном всеми мире. | НН | Н,НН | Правильное написание: таинственном.
Мне чудилось, что я брожу в таинственном, оставле(Н/НН)ом всеми мире. | НН | Н,НН | Правильное написание: оставленном.

# Комплект 3; источник № 6691
За ночь на око(Н/НН)ом стекле выросли диковинные серебряные цветы, сквозь которые лился слабый утренний свет. | НН | Н,НН | Правильное написание: оконном.
За ночь на оконном стекле выросли дикови(Н/НН)ые серебряные цветы, сквозь которые лился слабый утренний свет. | НН | Н,НН | Правильное написание: диковинные.
За ночь на оконном стекле выросли диковинные серебря(Н/НН)ые цветы, сквозь которые лился слабый утренний свет. | Н | Н,НН | Правильное написание: серебряные.
За ночь на оконном стекле выросли диковинные серебряные цветы, сквозь которые лился слабый утре(Н/НН)ий свет. | НН | Н,НН | Правильное написание: утренний.

# Комплект 4; источник № 38473
Когда я вернулся в комнату, кирпичики и соляные пирамидки были уже переложе(Н/НН)ы на подоконник, а Николай сметал песок и сонных мух в растворённое окно. | Н | Н,НН | Правильное написание: переложены.
Когда я вернулся в комнату, кирпичики и соляные пирамидки были уже переложены на подоко(Н/НН)ик, а Николай сметал песок и сонных мух в растворённое окно. | НН | Н,НН | Правильное написание: подоконник.
Когда я вернулся в комнату, кирпичики и соляные пирамидки были уже переложены на подоконник, а Николай сметал песок и со(Н/НН)ых мух в растворённое окно. | НН | Н,НН | Правильное написание: сонных.
Когда я вернулся в комнату, кирпичики и соляные пирамидки были уже переложены на подоконник, а Николай сметал песок и сонных мух в растворё(Н/НН)ое окно. | НН | Н,НН | Правильное написание: растворённое.

# Комплект 5; источник № 10906
Дину встретил весе(Н/НН)ий апрельский день – с остатками снега по обочинам дороги, с залепленными дорожной слякотью машинами, с синим, в рваных облаках небом: обычный петербургский апрельский ветреный день. | НН | Н,НН | Правильное написание: весенний.
Дину встретил весенний апрельский день – с остатками снега по обочинам дороги, с залепле(Н/НН)ыми дорожной слякотью машинами, с синим, в рваных облаках небом: обычный петербургский апрельский ветреный день. | НН | Н,НН | Правильное написание: залепленными.
